aeroporto_id,oaci,ciad,nome,municipio_atendido,uf,pais,latitude,longitude,tipo_cadastro,tipo_infraestrutura,situacao_cadastral,validade,cadastro_pos_corte,data_efetiva_cadastro,eligibilidade_operacional,decisao_cadastral_temporal,meses_com_servico,meses_lista,decolagens,destinos_distintos,elegivel,motivo_exclusao,acesso_publico_status,operadores_observados,rotas_observadas,evidencia_servico_comercial,score_exploratorio_frequencia_diversidade,metrica_status,periodo_inicio,periodo_fim,fonte_movimentos,fonte_cadastro,arquivo_movimentos,arquivo_cadastro,versao_movimentos,versao_cadastro,flag_qualidade
BA0494,SS7V,BA0494,Fazenda Sagarana I,CORRENTINA,BA,BRASIL,-13.773611,-46.197222,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
BA0532,,BA0532,Fazenda Bom Jesus,JABORANDI,BA,BRASIL,-14.155278,-45.699167,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
GO0402,SD09,GO0402,Cidade de Goiás,GOIÁS,GO,BRASIL,-15.92,-50.192778,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
GO0436,SS7V,GO0436,Fazenda Cachoeira,MINEIROS,GO,BRASIL,-17.385278,-52.215833,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
GO0445,,GO0445,Rubens Tavares Cotrim,AMORINÓPOLIS,GO,BRASIL,-16.5125,-51.143889,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
GO0446,,GO0446,Goiatuba,GOIATUBA,GO,BRASIL,-17.994444,-49.343611,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
GO0447,,GO0447,Fazenda Vale do São Pedro,RIO VERDE,GO,BRASIL,-17.446111,-51.693611,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
GO0448,,GO0448,FAZENDA PORTO NOVO,GOUVELÂNDIA,GO,BRASIL,-18.650278,-50.105556,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MA0197,,MA0197,Fazenda São João,LAGO DA PEDRA,MA,BRASIL,-4.6291667,-45.121944,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MA0216,,MA0216,Fazenda Chapadão da Serra,RIBEIRO GONÇALVES,PI,BRASIL,-7.7708333,-45.603333,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MG0684,,MG0684,Estância Tangará,UBERABA,MG,BRASIL,-19.778889,-48.106111,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MG0685,,MG0685,São Pedro da Canastra,MEDEIROS,MG,BRASIL,-19.971111,-46.629722,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0071,SS3G,MS0071,Romaer Aviação Agrícola,ARAL MOREIRA,MS,BRASIL,-22.931389,-55.588611,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0561,,MS0561,Alto Do Piquiri,SONORA,MS,BRASIL,-17.836111,-54.766944,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0683,,MS0683,Fazenda Torrão de Ouro,CORUMBÁ,MS,BRASIL,-19.84,-57.693056,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0771,SS3G,MS0771,FAZENDA IMACULADA,CORUMBÁ,MS,BRASIL,-18.870278,-55.889167,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0818,,MS0818,Fazenda Impacto,,,BRASIL,-21.273611,-55.986944,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0820,,MS0820,Fazenda Morrinho,GUIA LOPES DA LAGUNA,MS,BRASIL,-21.313611,-55.981389,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0821,,MS0821,Fazenda Marajá,,,BRASIL,-21.802778,-57.335278,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0824,,MS0824,Fazenda Arizona,COSTA RICA,MS,BRASIL,-18.881667,-53.345278,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MS0825,,MS0825,Fazenda Pássaro Preto,SONORA,MS,BRASIL,-17.460556,-53.908889,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MT0161,,MT0161,Agroesser,DIVINÓPOLIS DO TOCANTINS,TO,BRASIL,-9.8908333,-49.177778,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MT0540,,MT0540,Fazenda Quatro Irmãos,CÁCERES,MT,BRASIL,-17.208889,-58.080556,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
MT1011,,MT1011,FAZENDA SANTA VITÓRIA,SÃO FÉLIX DO ARAGUAIA,MT,BRASIL,-11.253056,-52.359167,privativo,AERODROMO,,,True,2026-08-18,False,crosswalk_pos_corte_sem_evidencia_adversa,0,,0,0,False,cadastro sem decolagem regular de passageiros na janela,nao_demonstrado,,,,,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-privados.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-18,ok
