aeroporto_id,oaci,ciad,nome,municipio_atendido,uf,pais,latitude,longitude,tipo_cadastro,tipo_infraestrutura,situacao_cadastral,validade,cadastro_pos_corte,data_efetiva_cadastro,eligibilidade_operacional,decisao_cadastral_temporal,meses_com_servico,meses_lista,decolagens,destinos_distintos,elegivel,motivo_exclusao,acesso_publico_status,operadores_observados,rotas_observadas,evidencia_servico_comercial,score_exploratorio_frequencia_diversidade,metrica_status,periodo_inicio,periodo_fim,fonte_movimentos,fonte_cadastro,arquivo_movimentos,arquivo_cadastro,versao_movimentos,versao_cadastro,flag_qualidade
SBAE,SBAE,SP0010,Bauru/Arealva,Bauru,SP,BRASIL,-22.157778,-49.068333,publico,AERODROMO,Cadastrado,13/05/2031,True,2026-08-15,True,validade_historica_nao_bloqueante_resolucao_736,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,449,4,True,,servico_regular_comercial_observado,AZUL LINHAS AÉREAS BRASILEIRAS S/A,SBAE-SBKP;SBAE-SBMO;SBAE-SBPS;SBAE-SBRF,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,42.37924020083418,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBAQ,SBAQ,SP0012,Bartolomeu de Gusmão,Araraquara,SP,BRASIL,-21.811944,-48.133056,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,255,1,True,,servico_regular_comercial_observado,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),SBAQ-SBKP,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,15.968719422671311,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBAR,SBAR,SE0001,Santa Maria,Aracaju,SE,BRASIL,-10.985278,-37.073333,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,5056,13,True,,servico_regular_comercial_observado,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);AZUL LINHAS AÉREAS BRASILEIRAS S/A;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);TAM LINHAS AÉREAS S.A.,SBAR-SBBR;SBAR-SBCF;SBAR-SBGL;SBAR-SBGR;SBAR-SBIL;SBAR-SBKP;SBAR-SBMO;SBAR-SBPS;SBAR-SBRF;SBAR-SBRP;SBAR-SBSP;SBAR-SBSV;SBAR-SBVT,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,256.37472574339307,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBAT,SBAT,MT0003,PILOTO OSVALDO MARQUES DIAS,Alta Floresta,MT,BRASIL,-9.8663889,-56.105,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,186,2,True,,servico_regular_comercial_observado,AZUL LINHAS AÉREAS BRASILEIRAS S/A,SBAT-SBCY;SBAT-SBKP,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,19.28730152198591,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBAU,SBAU,SP0009,Araçatuba,Araçatuba,SP,BRASIL,-21.144167,-50.426389,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,586,4,True,,servico_regular_comercial_observado,AZUL LINHAS AÉREAS BRASILEIRAS S/A;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.),SBAU-SBGR;SBAU-SBKP;SBAU-SBPS;SBAU-SBSP,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,48.41487374764082,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBAX,SBAX,MG0008,Romeu Zema,Araxá,MG,BRASIL,-19.563056,-46.960556,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,139,2,True,,servico_regular_comercial_observado,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);AZUL LINHAS AÉREAS BRASILEIRAS S/A,SBAX-SBCF;SBAX-SNPD,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,16.673332000533065,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBBE,SBBE,PA0001,INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO,Belém,PA,BRASIL,-1.3847222,-48.478889,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,14720,36,True,,servico_regular_comercial_observado,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;AIRES - AEROVÍAS DE INTEGRACÍON REGIONAL S.A.;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);AZUL LINHAS AÉREAS BRASILEIRAS S/A;COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES);GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);SOCIÉTÉ AIR FRANCE;SURINAM AIRWAYS LTD;TAM LINHAS AÉREAS S.A.;TAP - TRANSPORTES AÉREOS PORTUGUESES S/A,SBBE-EXT:GVAC;SBBE-EXT:KFLL;SBBE-EXT:KMIA;SBBE-EXT:LPPT;SBBE-EXT:SKBO;SBBE-EXT:SMJP;SBBE-EXT:SOCA;SBBE-SBAR;SBBE-SBBR;SBBE-SBCF;SBBE-SBCJ;SBBE-SBCY;SBBE-SBEG;SBBE-SBFZ;SBBE-SBGL;SBBE-SBGR;SBBE-SBHT;SBBE-SBKP;SBBE-SBMA;SBBE-SBMD;SBBE-SBMO;SBBE-SBMQ;SBBE-SBPJ;SBBE-SBPV;SBBE-SBRF;SBBE-SBRP;SBBE-SBSG;SBBE-SBSL;SBBE-SBSN;SBBE-SBTU;SBBE-SBVT;SBBE-SDOW;SBBE-SNEB;SBBE-SNMZ;SBBE-SNSM;SBBE-SNVS,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,727.9560426289488,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBBR,SBBR,DF0001,Presidente Juscelino Kubitschek,Brasília,DF,BRASIL,-15.871111,-47.918611,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,58110,53,True,,servico_regular_comercial_observado,"AMERICAN AIRLINES, INC.;AZUL LINHAS AÉREAS BRASILEIRAS S/A;COMPAÑIA PANAMEÑA DE AVIACION S.A. (COPA AIRLINES);GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);LATAM AIRLINES GROUP (EX - LAN AIRLINES S/A);LATAM AIRLINES PERU (EX-LAN PERU S.A.);TAM LINHAS AÉREAS S.A.;TAP - TRANSPORTES AÉREOS PORTUGUESES S/A",SBBR-EXT:KDFW;SBBR-EXT:KMCO;SBBR-EXT:KMIA;SBBR-EXT:KTPA;SBBR-EXT:LPPT;SBBR-EXT:MDPC;SBBR-EXT:MMUN;SBBR-EXT:MPTO;SBBR-EXT:SABE;SBBR-EXT:SAEZ;SBBR-EXT:SCEL;SBBR-EXT:SKBO;SBBR-EXT:SLVR;SBBR-EXT:SPJC;SBBR-SBAE;SBBR-SBAR;SBBR-SBBE;SBBR-SBBV;SBBR-SBCF;SBBR-SBCG;SBBR-SBCT;SBBR-SBCY;SBBR-SBEG;SBBR-SBFI;SBBR-SBFL;SBBR-SBFZ;SBBR-SBGL;SBBR-SBGO;SBBR-SBGR;SBBR-SBIZ;SBBR-SBJP;SBBR-SBKG;SBBR-SBKP;SBBR-SBMA;SBBR-SBMO;SBBR-SBMQ;SBBR-SBPA;SBBR-SBPJ;SBBR-SBPS;SBBR-SBPV;SBBR-SBRB;SBBR-SBRF;SBBR-SBRJ;SBBR-SBRP;SBBR-SBSG;SBBR-SBSI;SBBR-SBSL;SBBR-SBSN;SBBR-SBSP;SBBR-SBSV;SBBR-SBTE;SBBR-SBUL;SBBR-SBVT,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,1754.9444435650948,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBBV,SBBV,RR0001,Atlas Brasil Cantanhede,Boa Vista,RR,BRASIL,2.84138889,-60.692222,publico,AERODROMO,Cadastrado,,True,2026-08-15,True,crosswalk_pos_corte_sem_evidencia_adversa,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,1150,5,True,,servico_regular_comercial_observado,AEROVIAS DEL CONTINENTE AMERICANO S.A. AVIANCA;AZUL LINHAS AÉREAS BRASILEIRAS S/A;GOL LINHAS AÉREAS S.A. (EX- VRG LINHAS AÉREAS S.A.);TAM LINHAS AÉREAS S.A.,SBBV-SBBR;SBBV-SBCY;SBBV-SBEG;SBBV-SBGR;SBBV-SBPJ,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,75.82875444051551,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
SBBW,SBBW,MT0008,Barra do Garças,Barra do Garças,MT,BRASIL,-15.861389,-52.388889,publico,AERODROMO,Cadastrado,27/03/2033,True,2026-08-15,True,validade_historica_nao_bloqueante_resolucao_736,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06,168,1,True,,servico_regular_comercial_observado,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),SBBW-SBCY,Dados Estatísticos ANAC: grupo REGULAR com assentos/passageiros e decolagens positivos,12.96148139681572,exploratoria_nao_congelada,2025-07-01,2026-06-30,ANAC Dados Estatísticos,ANAC cadastros público e privativo,data/raw/anac/Dados_Estatisticos.csv,data/raw/anac/cadastro-aerodromos-publicos.csv,Atualizado em: 2026-08-09,Atualizado em: 2026-08-15,catalogo_anac_e_siros
