municipio_id,indicador_id,valor_bruto,periodo_referencia,flag_qualidade,acessos_fibra,total_acessos_internet,prestadores_cnpj
4100103,INF-DIG-02,92.281105990783,2026-06,observado,801,868,
4100103,INF-DIG-03,0.469897428274,2026-06,observado,,868,17
4100202,INF-DIG-02,68.245125348189,2026-06,observado,245,359,
4100202,INF-DIG-03,0.726639302923,2026-06,observado,,359,12
4100301,INF-DIG-02,98.309426229508,2026-06,observado,3838,3904,
4100301,INF-DIG-03,0.534474020971,2026-06,observado,,3904,12
4100400,INF-DIG-02,96.258472107216,2026-06,observado,31387,32607,
4100400,INF-DIG-03,0.737422375978,2026-06,observado,,32607,37
4100459,INF-DIG-02,69.5885509839,2026-06,observado,389,559,
4100459,INF-DIG-03,0.717822843629,2026-06,observado,,559,11
4100509,INF-DIG-02,79.741771231133,2026-06,observado,4385,5499,
4100509,INF-DIG-03,0.529969161349,2026-06,observado,,5499,13
4100608,INF-DIG-02,95.286942057111,2026-06,observado,3437,3607,
4100608,INF-DIG-03,0.503752483869,2026-06,observado,,3607,13
4100707,INF-DIG-02,83.682983682984,2026-06,observado,1077,1287,
4100707,INF-DIG-03,0.094794094794,2026-06,observado,,1287,11
4100806,INF-DIG-02,71.341925701289,2026-06,observado,1882,2638,
4100806,INF-DIG-03,0.639879270773,2026-06,observado,,2638,14
4100905,INF-DIG-02,86.338797814208,2026-06,observado,316,366,
4100905,INF-DIG-03,0.275777120846,2026-06,observado,,366,9
4101002,INF-DIG-02,87.253112033195,2026-06,observado,5257,6025,
4101002,INF-DIG-03,0.249868094558,2026-06,observado,,6025,13
4101051,INF-DIG-02,92.245989304813,2026-06,observado,690,748,
4101051,INF-DIG-03,0.470509594212,2026-06,observado,,748,10
4101101,INF-DIG-02,94.23972892842,2026-06,observado,2225,2361,
4101101,INF-DIG-03,0.668173935444,2026-06,observado,,2361,20
4101150,INF-DIG-02,88.924050632911,2026-06,observado,1124,1264,
4101150,INF-DIG-03,0.715456507371,2026-06,observado,,1264,15
4101200,INF-DIG-02,93.863591948407,2026-06,observado,4803,5117,
4101200,INF-DIG-03,0.624765288039,2026-06,observado,,5117,16
4101309,INF-DIG-02,69.733656174334,2026-06,observado,288,413,
4101309,INF-DIG-03,0.626737566615,2026-06,observado,,413,12
4101408,INF-DIG-02,97.218196935503,2026-06,observado,40924,42095,
4101408,INF-DIG-03,0.744443425658,2026-06,observado,,42095,36
4101507,INF-DIG-02,82.486722048209,2026-06,observado,36342,44058,
4101507,INF-DIG-03,0.821709009806,2026-06,observado,,44058,43
4101606,INF-DIG-02,90.659002258263,2026-06,observado,4416,4871,
4101606,INF-DIG-03,0.573864711823,2026-06,observado,,4871,16
4101655,INF-DIG-02,66.240409207161,2026-06,observado,518,782,
4101655,INF-DIG-03,0.186409691198,2026-06,observado,,782,9
4101705,INF-DIG-02,91.956124314442,2026-06,observado,3018,3282,
4101705,INF-DIG-03,0.753073195585,2026-06,observado,,3282,18
4101804,INF-DIG-02,88.996775747693,2026-06,observado,48028,53966,
4101804,INF-DIG-03,0.875000259071,2026-06,observado,,53966,48
4101853,INF-DIG-02,56.547619047619,2026-06,observado,95,168,
4101853,INF-DIG-03,0.565192743764,2026-06,observado,,168,10
4101903,INF-DIG-02,67.893217893218,2026-06,observado,941,1386,
4101903,INF-DIG-03,0.707771385261,2026-06,observado,,1386,14
4102000,INF-DIG-02,92.693661971831,2026-06,observado,5265,5680,
4102000,INF-DIG-03,0.617944232295,2026-06,observado,,5680,20
4102109,INF-DIG-02,97.458137573786,2026-06,observado,8090,8301,
4102109,INF-DIG-03,0.564027153219,2026-06,observado,,8301,20
4102208,INF-DIG-02,86.195286195286,2026-06,observado,1280,1485,
4102208,INF-DIG-03,0.573451688603,2026-06,observado,,1485,14
4102307,INF-DIG-02,91.538461538462,2026-06,observado,4403,4810,
4102307,INF-DIG-03,0.596881756216,2026-06,observado,,4810,14
4102406,INF-DIG-02,97.740846533368,2026-06,observado,7528,7702,
4102406,INF-DIG-03,0.528653758638,2026-06,observado,,7702,18
4102505,INF-DIG-02,66.656451118603,2026-06,observado,2175,3263,
4102505,INF-DIG-03,0.614385100866,2026-06,observado,,3263,17
4102604,INF-DIG-02,91.204588910134,2026-06,observado,2862,3138,
4102604,INF-DIG-03,0.71743723294,2026-06,observado,,3138,18
4102703,INF-DIG-02,81.779661016949,2026-06,observado,386,472,
4102703,INF-DIG-03,0.216020899167,2026-06,observado,,472,12
4102752,INF-DIG-02,73.886883273165,2026-06,observado,614,831,
4102752,INF-DIG-03,0.049730581368,2026-06,observado,,831,11
4102802,INF-DIG-02,96.812311074471,2026-06,observado,3523,3639,
4102802,INF-DIG-03,0.289278140894,2026-06,observado,,3639,17
4102901,INF-DIG-02,50.553505535055,2026-06,observado,548,1084,
4102901,INF-DIG-03,0.470100148418,2026-06,observado,,1084,15
4103008,INF-DIG-02,93.64161849711,2026-06,observado,648,692,
4103008,INF-DIG-03,0.579788833573,2026-06,observado,,692,15
4103024,INF-DIG-02,91.190864600326,2026-06,observado,559,613,
4103024,INF-DIG-03,0.576103936195,2026-06,observado,,613,10
4103040,INF-DIG-02,5.172413793103,2026-06,observado,12,232,
4103040,INF-DIG-03,0.474063614744,2026-06,observado,,232,10
4103057,INF-DIG-02,69.166666666667,2026-06,observado,498,720,
