municipio_id,indicador_id,valor_bruto,periodo_referencia,flag_qualidade,acessos_ge_100_mbps,total_acessos_internet
4100103,INF-DIG-01-NUM,561,2026-06,observado,561,868
4100202,INF-DIG-01-NUM,283,2026-06,observado,283,359
4100301,INF-DIG-01-NUM,3713,2026-06,observado,3713,3904
4100400,INF-DIG-01-NUM,31967,2026-06,observado,31967,32607
4100459,INF-DIG-01-NUM,416,2026-06,observado,416,559
4100509,INF-DIG-01-NUM,2213,2026-06,observado,2213,5499
4100608,INF-DIG-01-NUM,3450,2026-06,observado,3450,3607
4100707,INF-DIG-01-NUM,970,2026-06,observado,970,1287
4100806,INF-DIG-01-NUM,1900,2026-06,observado,1900,2638
4100905,INF-DIG-01-NUM,358,2026-06,observado,358,366
4101002,INF-DIG-01-NUM,5022,2026-06,observado,5022,6025
4101051,INF-DIG-01-NUM,711,2026-06,observado,711,748
4101101,INF-DIG-01-NUM,2179,2026-06,observado,2179,2361
4101150,INF-DIG-01-NUM,944,2026-06,observado,944,1264
4101200,INF-DIG-01-NUM,4699,2026-06,observado,4699,5117
4101309,INF-DIG-01-NUM,227,2026-06,observado,227,413
4101408,INF-DIG-01-NUM,39361,2026-06,observado,39361,42095
4101507,INF-DIG-01-NUM,42184,2026-06,observado,42184,44058
4101606,INF-DIG-01-NUM,3950,2026-06,observado,3950,4871
4101655,INF-DIG-01-NUM,378,2026-06,observado,378,782
4101705,INF-DIG-01-NUM,2963,2026-06,observado,2963,3282
4101804,INF-DIG-01-NUM,52921,2026-06,observado,52921,53966
4101853,INF-DIG-01-NUM,48,2026-06,observado,48,168
4101903,INF-DIG-01-NUM,1098,2026-06,observado,1098,1386
4102000,INF-DIG-01-NUM,2900,2026-06,observado,2900,5680
4102109,INF-DIG-01-NUM,8040,2026-06,observado,8040,8301
4102208,INF-DIG-01-NUM,1256,2026-06,observado,1256,1485
4102307,INF-DIG-01-NUM,4677,2026-06,observado,4677,4810
4102406,INF-DIG-01-NUM,7622,2026-06,observado,7622,7702
4102505,INF-DIG-01-NUM,1852,2026-06,observado,1852,3263
4102604,INF-DIG-01-NUM,2706,2026-06,observado,2706,3138
4102703,INF-DIG-01-NUM,418,2026-06,observado,418,472
4102752,INF-DIG-01-NUM,621,2026-06,observado,621,831
4102802,INF-DIG-01-NUM,1843,2026-06,observado,1843,3639
4102901,INF-DIG-01-NUM,657,2026-06,observado,657,1084
4103008,INF-DIG-01-NUM,628,2026-06,observado,628,692
4103024,INF-DIG-01-NUM,437,2026-06,observado,437,613
4103040,INF-DIG-01-NUM,166,2026-06,observado,166,232
4103057,INF-DIG-01-NUM,313,2026-06,observado,313,720
4103107,INF-DIG-01-NUM,3445,2026-06,observado,3445,3586
4103156,INF-DIG-01-NUM,726,2026-06,observado,726,1034
4103206,INF-DIG-01-NUM,892,2026-06,observado,892,1087
4103222,INF-DIG-01-NUM,58,2026-06,observado,58,66
4103305,INF-DIG-01-NUM,418,2026-06,observado,418,597
4103354,INF-DIG-01-NUM,603,2026-06,observado,603,690
4103370,INF-DIG-01-NUM,218,2026-06,observado,218,274
4103404,INF-DIG-01-NUM,286,2026-06,observado,286,715
4103453,INF-DIG-01-NUM,6528,2026-06,observado,6528,7165
4103479,INF-DIG-01-NUM,523,2026-06,observado,523,769
4103503,INF-DIG-01-NUM,523,2026-06,observado,523,851
4103602,INF-DIG-01-NUM,3639,2026-06,observado,3639,3697
4103701,INF-DIG-01-NUM,33058,2026-06,observado,33058,35102
4103800,INF-DIG-01-NUM,1300,2026-06,observado,1300,1456
4103909,INF-DIG-01-NUM,4608,2026-06,observado,4608,4837
4103958,INF-DIG-01-NUM,313,2026-06,observado,313,563
4104006,INF-DIG-01-NUM,11894,2026-06,observado,11894,12068
4104055,INF-DIG-01-NUM,738,2026-06,observado,738,880
4104105,INF-DIG-01-NUM,943,2026-06,observado,943,978
4104204,INF-DIG-01-NUM,53843,2026-06,observado,53843,55507
4104253,INF-DIG-01-NUM,9620,2026-06,observado,9620,9717
4104303,INF-DIG-01-NUM,28595,2026-06,observado,28595,30381
4104402,INF-DIG-01-NUM,1151,2026-06,observado,1151,2161
4104428,INF-DIG-01-NUM,4544,2026-06,observado,4544,6731
4104451,INF-DIG-01-NUM,1807,2026-06,observado,1807,2586
4104501,INF-DIG-01-NUM,4150,2026-06,observado,4150,4552
4104600,INF-DIG-01-NUM,3761,2026-06,observado,3761,5378
4104659,INF-DIG-01-NUM,6421,2026-06,observado,6421,6707
4104709,INF-DIG-01-NUM,3786,2026-06,observado,3786,4445
4104808,INF-DIG-01-NUM,145854,2026-06,observado,145854,151794
4104907,INF-DIG-01-NUM,16051,2026-06,observado,16051,16818
4105003,INF-DIG-01-NUM,1873,2026-06,observado,1873,2502
4105102,INF-DIG-01-NUM,1316,2026-06,observado,1316,2247
4105201,INF-DIG-01-NUM,979,2026-06,observado,979,1259
4105300,INF-DIG-01-NUM,3604,2026-06,observado,3604,3736
4105409,INF-DIG-01-NUM,3782,2026-06,observado,3782,6069
4105508,INF-DIG-01-NUM,13601,2026-06,observado,13601,14973
4105607,INF-DIG-01-NUM,3899,2026-06,observado,3899,4044
4105706,INF-DIG-01-NUM,4591,2026-06,observado,4591,4681
4105805,INF-DIG-01-NUM,80876,2026-06,observado,80876,82368
4105904,INF-DIG-01-NUM,6376,2026-06,observado,6376,6512
4106001,INF-DIG-01-NUM,957,2026-06,observado,957,1834
4106100,INF-DIG-01-NUM,19,2026-06,observado,19,35
4106209,INF-DIG-01-NUM,5745,2026-06,observado,5745,6107
4106308,INF-DIG-01-NUM,5015,2026-06,observado,5015,5131
4106407,INF-DIG-01-NUM,15178,2026-06,observado,15178,16235
4106456,INF-DIG-01-NUM,1289,2026-06,observado,1289,1656
4106506,INF-DIG-01-NUM,7910,2026-06,observado,7910,8969
4106555,INF-DIG-01-NUM,512,2026-06,observado,512,652
4106571,INF-DIG-01-NUM,876,2026-06,observado,876,1317
4106605,INF-DIG-01-NUM,5091,2026-06,observado,5091,5373
4106704,INF-DIG-01-NUM,560,2026-06,observado,560,615
4106803,INF-DIG-01-NUM,852,2026-06,observado,852,1715
4106852,INF-DIG-01-NUM,196,2026-06,observado,196,259
4106902,INF-DIG-01-NUM,766283,2026-06,observado,766283,798971
4107009,INF-DIG-01-NUM,1709,2026-06,observado,1709,2593
4107108,INF-DIG-01-NUM,278,2026-06,observado,278,377
4107124,INF-DIG-01-NUM,378,2026-06,observado,378,809
4107157,INF-DIG-01-NUM,1039,2026-06,observado,1039,1410
4107207,INF-DIG-01-NUM,14837,2026-06,observado,14837,17002
4107256,INF-DIG-01-NUM,1718,2026-06,observado,1718,2471
4107306,INF-DIG-01-NUM,970,2026-06,observado,970,1280
4107405,INF-DIG-01-NUM,957,2026-06,observado,957,1168
4107504,INF-DIG-01-NUM,1989,2026-06,observado,1989,2115
4107520,INF-DIG-01-NUM,411,2026-06,observado,411,488
4107538,INF-DIG-01-NUM,1065,2026-06,observado,1065,1463
