municipio_id,municipio_nome,uf_sigla,latitude,longitude,seat_type
4100103,Abatiá,PR,-23.302200317382812,-50.3119010925293,sede_municipal
4100202,Adrianópolis,PR,-24.658199310302734,-48.99209976196289,sede_municipal
4100301,Agudos do Sul,PR,-25.988800048828125,-49.33330154418945,sede_municipal
4100400,Almirante Tamandaré,PR,-25.313400268554688,-49.29970169067383,sede_municipal
4100459,Altamira do Paraná,PR,-24.799299240112305,-52.7156982421875,sede_municipal
4100509,Altônia,PR,-23.8710994720459,-53.894100189208984,sede_municipal
4100608,Alto Paraná,PR,-23.128999710083008,-52.32040023803711,sede_municipal
4100707,Alto Piquiri,PR,-24.02519989013672,-53.44129943847656,sede_municipal
4100806,Alvorada do Sul,PR,-22.781200408935547,-51.231300354003906,sede_municipal
4100905,Amaporã,PR,-23.09760093688965,-52.78689956665039,sede_municipal
4101002,Ampére,PR,-25.91860008239746,-53.47529983520508,sede_municipal
4101051,Anahy,PR,-24.650699615478516,-53.13349914550781,sede_municipal
4101101,Andirá,PR,-23.05139923095703,-50.233699798583984,sede_municipal
4101150,Ângulo,PR,-23.196800231933594,-51.912601470947266,sede_municipal
4101200,Antonina,PR,-25.42889976501465,-48.710201263427734,sede_municipal
4101309,Antônio Olinto,PR,-25.987199783325195,-50.19710159301758,sede_municipal
4101408,Apucarana,PR,-23.553800582885742,-51.46770095825195,sede_municipal
4101507,Arapongas,PR,-23.407499313354492,-51.437599182128906,sede_municipal
4101606,Arapoti,PR,-24.143400192260742,-49.823699951171875,sede_municipal
4101655,Arapuã,PR,-24.30579948425293,-51.7843017578125,sede_municipal
4101705,Araruna,PR,-23.93320083618164,-52.497398376464844,sede_municipal
4101804,Araucária,PR,-25.590499877929688,-49.4005012512207,sede_municipal
4101853,Ariranha do Ivaí,PR,-24.384000778198242,-51.59130096435547,sede_municipal
4101903,Assaí,PR,-23.37339973449707,-50.845298767089844,sede_municipal
4102000,Assis Chateaubriand,PR,-24.404499053955078,-53.51020050048828,sede_municipal
4102109,Astorga,PR,-23.233999252319336,-51.66400146484375,sede_municipal
4102208,Atalaia,PR,-23.151500701904297,-52.05329895019531,sede_municipal
4102307,Balsa Nova,PR,-25.58049964904785,-49.62969970703125,sede_municipal
