municipio_id,municipio_nome,uf_sigla,uf_codigo,regiao_nome,mesorregiao,microrregiao,regiao_intermediaria,regiao_imediata,vigencia_inicio,vigencia_fim,ativo_edicao
4100103,Abatiá,PR,41,Sul,,,Londrina,Santo Antônio da Platina,2025-01-01,,true
4100202,Adrianópolis,PR,41,Sul,,,Curitiba,Curitiba,2025-01-01,,true
4100301,Agudos do Sul,PR,41,Sul,,,Curitiba,Curitiba,2025-01-01,,true
4100400,Almirante Tamandaré,PR,41,Sul,,,Curitiba,Curitiba,2025-01-01,,true
4100459,Altamira do Paraná,PR,41,Sul,,,Maringá,Campo Mourão,2025-01-01,,true
4100509,Altônia,PR,41,Sul,,,Maringá,Umuarama,2025-01-01,,true
4100608,Alto Paraná,PR,41,Sul,,,Maringá,Paranavaí,2025-01-01,,true
4100707,Alto Piquiri,PR,41,Sul,,,Maringá,Umuarama,2025-01-01,,true
4100806,Alvorada do Sul,PR,41,Sul,,,Londrina,Londrina,2025-01-01,,true
4100905,Amaporã,PR,41,Sul,,,Maringá,Paranavaí,2025-01-01,,true
4101002,Ampére,PR,41,Sul,,,Cascavel,Francisco Beltrão,2025-01-01,,true
4101051,Anahy,PR,41,Sul,,,Cascavel,Cascavel,2025-01-01,,true
4101101,Andirá,PR,41,Sul,,,Londrina,Santo Antônio da Platina,2025-01-01,,true
4101150,Ângulo,PR,41,Sul,,,Maringá,Maringá,2025-01-01,,true
4101200,Antonina,PR,41,Sul,,,Curitiba,Paranaguá,2025-01-01,,true
4101309,Antônio Olinto,PR,41,Sul,,,Curitiba,União da Vitória,2025-01-01,,true
4101408,Apucarana,PR,41,Sul,,,Londrina,Apucarana,2025-01-01,,true
4101507,Arapongas,PR,41,Sul,,,Londrina,Londrina,2025-01-01,,true
4101606,Arapoti,PR,41,Sul,,,Ponta Grossa,Ponta Grossa,2025-01-01,,true
4101655,Arapuã,PR,41,Sul,,,Londrina,Ivaiporã,2025-01-01,,true
4101705,Araruna,PR,41,Sul,,,Maringá,Campo Mourão,2025-01-01,,true
4101804,Araucária,PR,41,Sul,,,Curitiba,Curitiba,2025-01-01,,true
4101853,Ariranha do Ivaí,PR,41,Sul,,,Londrina,Ivaiporã,2025-01-01,,true
4101903,Assaí,PR,41,Sul,,,Londrina,Londrina,2025-01-01,,true
4102000,Assis Chateaubriand,PR,41,Sul,,,Cascavel,Toledo,2025-01-01,,true
4102109,Astorga,PR,41,Sul,,,Maringá,Maringá,2025-01-01,,true
4102208,Atalaia,PR,41,Sul,,,Maringá,Maringá,2025-01-01,,true
4102307,Balsa Nova,PR,41,Sul,,,Curitiba,Curitiba,2025-01-01,,true
4102406,Bandeirantes,PR,41,Sul,,,Londrina,Cornélio Procópio - Bandeirantes,2025-01-01,,true
4102505,Barbosa Ferraz,PR,41,Sul,,,Maringá,Campo Mourão,2025-01-01,,true
