alias,aeroporto_id,tipo,fonte
PA0008,SBAA,CIAD,cadastro ANAC
CE0004,SBAC,CIAD,cadastro ANAC
SP0010,SBAE,CIAD,cadastro ANAC
SP0012,SBAQ,CIAD,cadastro ANAC
SE0001,SBAR,CIAD,cadastro ANAC
MT0003,SBAT,CIAD,cadastro ANAC
SP0009,SBAU,CIAD,cadastro ANAC
MG0008,SBAX,CIAD,cadastro ANAC
PA0001,SBBE,CIAD,cadastro ANAC
RS0010,SBBG,CIAD,cadastro ANAC
MG0003,SBBH,CIAD,cadastro ANAC
PR0006,SBBI,CIAD,cadastro ANAC
SP0036,SBBP,CIAD,cadastro ANAC
DF0001,SBBR,CIAD,cadastro ANAC
SP0017,SBBU,CIAD,cadastro ANAC
RR0001,SBBV,CIAD,cadastro ANAC
MT0008,SBBW,CIAD,cadastro ANAC
PR0005,SBCA,CIAD,cadastro ANAC
RJ0003,SBCB,CIAD,cadastro ANAC
SC0006,SBCD,CIAD,cadastro ANAC
MG0001,SBCF,CIAD,cadastro ANAC
MS0001,SBCG,CIAD,cadastro ANAC
SC0003,SBCH,CIAD,cadastro ANAC
MA0003,SBCI,CIAD,cadastro ANAC
PA0006,SBCJ,CIAD,cadastro ANAC
GO0003,SBCN,CIAD,cadastro ANAC
RJ0006,SBCP,CIAD,cadastro ANAC
MS0009,SBCR,CIAD,cadastro ANAC
PR0001,SBCT,CIAD,cadastro ANAC
RS0007,SBCX,CIAD,cadastro ANAC
MT0001,SBCY,CIAD,cadastro ANAC
AC0002,SBCZ,CIAD,cadastro ANAC
MS0004,SBDB,CIAD,cadastro ANAC
SP0005,SBDN,CIAD,cadastro ANAC
MS0008,SBDO,CIAD,cadastro ANAC
AM0001,SBEG,CIAD,cadastro ANAC
PA0011,SBEK,CIAD,cadastro ANAC
PR0002,SBFI,CIAD,cadastro ANAC
SC0001,SBFL,CIAD,cadastro ANAC
PE0003,SBFN,CIAD,cadastro ANAC
RJ0028,SBFS,CIAD,cadastro ANAC
CE0001,SBFZ,CIAD,cadastro ANAC
RJ0001,SBGL,CIAD,cadastro ANAC
RO0006,SBGM,CIAD,cadastro ANAC
GO0001,SBGO,CIAD,cadastro ANAC
SP0075,SBGP,CIAD,cadastro ANAC
SP0002,SBGR,CIAD,cadastro ANAC
MG0032,SBGV,CIAD,cadastro ANAC
SP0076,SBGW,CIAD,cadastro ANAC
PA0003,SBHT,CIAD,cadastro ANAC
AM0012,SBIC,CIAD,cadastro ANAC
PA0010,SBIH,CIAD,cadastro ANAC
BA0004,SBIL,CIAD,cadastro ANAC
MG0007,SBIP,CIAD,cadastro ANAC
GO0035,SBIT,CIAD,cadastro ANAC
MA0002,SBIZ,CIAD,cadastro ANAC
SC0005,SBJA,CIAD,cadastro ANAC
SP0031,SBJD,CIAD,cadastro ANAC
CE0003,SBJE,CIAD,cadastro ANAC
MG0016,SBJF,CIAD,cadastro ANAC
SP1176,SBJH,CIAD,cadastro ANAC
RO0005,SBJI,CIAD,cadastro ANAC
PB0001,SBJP,CIAD,cadastro ANAC
RJ0005,SBJR,CIAD,cadastro ANAC
CE0002,SBJU,CIAD,cadastro ANAC
SC0004,SBJV,CIAD,cadastro ANAC
PB0003,SBKG,CIAD,cadastro ANAC
SP0003,SBKP,CIAD,cadastro ANAC
