codigo,nome,pais,decolagens,meses_com_servico,meses_lista
KDFW,"DALLAS & FORT WORTH, TEXAS",ESTADOS UNIDOS DA AMÉRICA,451,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
KJFK,"NEW YORK, NEW YORK",ESTADOS UNIDOS DA AMÉRICA,1286,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
KMIA,"MIAMI, FLORIDA",ESTADOS UNIDOS DA AMÉRICA,2610,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
CYUL,"MONTREAL, QUEBEC",CANADÁ,257,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
CYYZ,TORONTO,CANADÁ,430,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SAEZ,"EZEIZA, BUENOS AIRES PROVINCE",ARGENTINA,5514,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
LEMD,MADRID,ESPANHA,2908,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SGAS,ASUNCIÓN,PARAGUAI,1299,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
LFPG,PARIS,FRANÇA,1869,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
SOCA,CAYENNE,GUIANA FRANCESA,107,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
GOBD,DAKAR,SENEGAL,2,2,2025-08;2025-11
LPPT,LISBOA,PORTUGAL,5833,12,2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
