municipio_id,municipio_nome,uf_sigla,conjuntos_necessarios,conjuntos_com_peso,conjuntos_sem_peso,n_conjuntos_necessarios,n_conjuntos_com_peso,motivo_nivel4,distribuidoras_conjuntos_sem_peso,distribuidora_identificada,bdgd_catalogo_verificado,bdgd_disponivel,bdgd_baixada,bdgd_vintage,evidencia_catalogo
4100459,Altamira do Paraná,PR,14632|16776,16776,14632,2,1,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4101150,Ângulo,PR,14698|15933,14698,15933,2,1,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4101606,Arapoti,PR,12637|14678|15929|15940|15953|15966|16780,12637|15953|15966|16780,14678|15929|15940,7,4,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4102000,Assis Chateaubriand,PR,14636|15928|15968|16756|16760,14636|15968|16756,15928|16760,5,3,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4102109,Astorga,PR,14698|15933|15964|16764,14698|15933,15964|16764,4,2,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4102307,Balsa Nova,PR,14652|14684|15924,14652|14684,15924,3,2,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4102505,Barbosa Ferraz,PR,14582|16757|16772,14582|16757,16772,3,2,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4103057,Boa Vista da Aparecida,PR,14628|15939,14628,15939,2,1,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4103206,Bom Sucesso,PR,15964|16755|16764|16772,15964|16764|16772,16755,4,3,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
4103800,Cambira,PR,14662|16755|16764|16772,14662|16755|16764,16772,4,3,bdgd_investigada_sem_celula_municipio_conjunto,COPEL-DIS,True,True,True,True,2024-12-31,"Item oficial ANEEL localizado, baixado e validado."
